arrival_rate,service_rate,num_servers,traffic_intensity,avg_wait_time,avg_queue_length,throughput,utilization
2.6729,1.852,1,1.4433,60.8486,164.7534,1.874,0.9999
3.0553,3.4605,1,0.8829,1.9327,5.7077,3.106,0.8829
3.3619,3.9508,5,0.1702,0.0,0.0,3.28,0.1702
2.0296,3.3187,4,0.1529,0.0001,0.0,2.02,0.1529
3.8982,3.5386,1,1.1016,21.8588,93.2698,3.638,0.9999
2.3317,1.9223,2,0.6065,0.2186,0.529,2.238,0.6065
2.1995,4.1345,4,0.133,0.0,0.0,2.194,0.133
1.1431,1.813,3,0.2102,0.0027,0.0036,1.102,0.2102
1.4565,3.2224,3,0.1507,0.0028,0.0041,1.46,0.1507
1.5164,4.8276,2,0.1571,0.003,0.0053,1.514,0.1571
1.141,3.2967,5,0.0692,0.0,0.0,1.118,0.0692
3.4792,3.3658,1,1.0337,26.9771,89.7031,3.158,0.9999
1.57,2.8793,4,0.1363,0.0002,0.0,1.598,0.1363
1.3903,3.3954,2,0.2047,0.0151,0.0233,1.376,0.2047
3.4563,1.3571,4,0.6367,0.1727,0.6031,3.51,0.6367
3.5581,3.8438,5,0.1851,0.0,0.0,3.618,0.1851
0.6164,3.4377,1,0.1793,0.0485,0.0182,0.66,0.1793
3.4611,1.2788,3,0.9022,1.1461,3.7004,3.434,0.9022
3.0011,2.9649,1,1.0122,19.9696,57.4561,2.728,0.9999
1.6442,2.2905,5,0.1436,0.0,0.0,1.538,0.1436
1.048,2.6477,4,0.099,0.0,0.0,1.044,0.099
3.7335,1.8595,1,2.0078,130.1765,464.1262,1.824,0.9999
1.8228,4.3146,1,0.4225,0.1677,0.2486,1.802,0.4225
3.1225,2.9159,1,1.0709,6.2821,18.9836,2.94,0.9999
3.9669,4.828,5,0.1643,0.0,0.0,3.986,0.1643
1.3342,4.9162,1,0.2714,0.0835,0.1147,1.378,0.2714
1.7507,2.1811,4,0.2007,0.0019,0.0033,1.806,0.2007
3.8407,4.3298,4,0.2218,0.0015,0.0062,3.896,0.2218
3.3032,2.2118,2,0.7467,0.5213,1.7791,3.33,0.7467
3.6089,2.4114,1,1.4966,76.1862,278.6042,2.38,0.9999
3.2806,4.0331,2,0.4067,0.0376,0.1214,3.162,0.4067
1.5616,3.2892,2,0.2374,0.0223,0.0441,1.452,0.2374
1.0838,1.0458,2,0.5182,0.7802,0.8881,1.108,0.5182
3.1331,4.555,2,0.3439,0.0305,0.1011,3.226,0.3439
2.0024,4.8529,2,0.2063,0.0143,0.0351,2.166,0.2063
2.9575,3.1986,1,0.9246,1.9937,5.7246,2.888,0.9246
3.6167,1.1982,1,3.0184,171.7707,593.6992,1.178,0.9999
1.4321,1.8576,5,0.1542,0.0045,0.0082,1.47,0.1542
1.4191,3.707,3,0.1276,0.0008,0.0,1.54,0.1276
2.628,4.1335,3,0.2119,0.0039,0.0089,2.696,0.2119
2.2593,1.1986,2,0.9425,4.7558,11.1007,2.302,0.9425
2.1634,4.1447,2,0.261,0.0152,0.0324,2.162,0.261
0.6741,1.6421,1,0.4105,0.3767,0.1636,0.648,0.4105
2.5544,1.5912,5,0.3211,0.003,0.0111,2.528,0.3211
0.7814,1.5974,4,0.1223,0.0,0.0,0.768,0.1223
1.8783,4.0878,2,0.2297,0.016,0.0281,1.99,0.2297
3.7478,4.5105,5,0.1662,0.0,0.0,3.82,0.1662
3.1025,2.1307,3,0.4854,0.0501,0.1513,2.988,0.4854
